[SYNTAX] ERROR: IN LINE NUMBER:	1:	Expected One of these tokens:	: 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	11	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	11	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	left	AT LINE NUMBER:	56 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	56 
[SYNTAX] WARNING: SKIPPING TOKEN:	not	AT LINE NUMBER:	56 
[SYNTAX] WARNING: SKIPPING TOKEN:	right	AT LINE NUMBER:	56 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	56 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	57 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	57 
[SYNTAX] WARNING: SKIPPING TOKEN:	-	AT LINE NUMBER:	57 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	57 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	57 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	58 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	58 
[SYNTAX] WARNING: SKIPPING TOKEN:	-	AT LINE NUMBER:	58 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	58 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	58 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	58 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	58 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	58 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	58 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	58 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	58 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	58 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	58 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	59 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	59 
[SYNTAX] WARNING: SKIPPING TOKEN:	+	AT LINE NUMBER:	59 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	59 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	59 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	+	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	60 
[SYNTAX] WARNING: SKIPPING TOKEN:	e	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	-	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	9	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	+	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	f	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	,	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	b	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	,	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	c	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	not	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	or	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	8	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	*	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	h	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	1	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	2	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	j	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	61 
[SYNTAX] WARNING: SKIPPING TOKEN:	f	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	1	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	f	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	and	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	b	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	*	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	c	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	/	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	not	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	d	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	-	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	6.66	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	+	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	1	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	*	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	b	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	2	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	3	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	c	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	d	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	b	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	p	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	,	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	q	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	62 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	64 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	64 
[SYNTAX] WARNING: REACHED END OF FILE 
